Product UPC,Product,NACS CATEGORY,NACS SUBCATEGORY,BRAND,COMPANY,NACS Category Code,NACS Subcategory Code
0088004009601,DR MCGLL INTNS ROOT BEER LQR 750 MILLILI,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009632,DR MCGLL INTNS ROOT BEER LQR 50 MILLILIT,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009724,DR MCGLL INTNS APPLE PIE LQR 750 MILLILI,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009755,DR MCGLL INTNS APPLE PIE LQR 50 MILLILIT,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009779,DR MCGILLICUDDYS INTNS PEACH 21 PERCENT,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009793,DR MCGILLICUDDYS INTNS PEACH 21 PERCENT,LIQUOR,CORDIALS BRANDY COGNAC,DR MCGILLICUDDY S,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004009823,TAAKA DSTLL FROM GRAIN IMTTN WHPPD CREAM,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010126,TAAKA 80 PROOF BOTTLE TQL AND VODKA AND,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010133,TAAKA 80 PROOF BOTTLE TQL AND VODKA AND,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010140,TAAKA 80 PROOF BOTTLE TQL AND VODKA AND,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010256,TAAKA CRTFD COLOR ADDED DSTLL FROM GRAIN,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010447,NKL 40 PERCENT 80 PROOF BTTL VODKA 750 M,LIQUOR,DISTILLED SPIRITS,NIKOLAI,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010744,DOBRA 80 PROOF BOTTLE TQL AND VODKA AND,LIQUOR,DISTILLED SPIRITS,DOBRA,SPAR INC,06-00-00,06-01-00
0088004010768,DOBRA DSTLL FROM GRAIN 40 PERCENT 80 PRO,LIQUOR,DISTILLED SPIRITS,DOBRA,SPAR INC,06-00-00,06-01-00
0088004010775,DOBRA 80 PROOF BOTTLE TQL AND VODKA AND,LIQUOR,DISTILLED SPIRITS,DOBRA,SPAR INC,06-00-00,06-01-00
0088004010898,TAAKA CRTFD COLOR ADDED DSTLL FROM GRAIN,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010911,TAAKA CRTFD COLOR ADDED DSTLL FROM GRAIN,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010935,TAAKA DSTLL FROM GRAIN IMTTN WHPPD CREAM,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004010959,TAAKA FRT PNCH 30 PERCENT 60 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004011109,MCFS BNCHM OLD NO 8 BRAND 40 PERCENT WHS,LIQUOR,DISTILLED SPIRITS,MCAFEE S BENCHMARK,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004011543,TAAKA 40 PERCENT 80 PROOF BTTL VODKA 750,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004011628,CROWN RUSSE 40 PERCENT 80 PROOF BTTL VOD,LIQUOR,DISTILLED SPIRITS,CROWN RUSSE,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004011741,TAAKA IMTTN CAKE 30 PERCENT 60 PROOF BTT,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004011802,TAAKA IMTTN CCNT 30 PERCENT 60 PROOF BTT,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004012014,TAAKA PCH 30 PERCENT 60 PROOF BTTL VODKA,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004012038,TAAKA DSTLL FROM GRAIN PCH 30 PERCENT VO,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004012748,PLTNM 7X DSTLL 40 PERCENT 80 PROOF BTTL,LIQUOR,DISTILLED SPIRITS,PLATINUM 7X,SAZERAC COMPANY INC,06-00-00,06-01-00
0088004015213,DSRT ISLND LONG ISLND ICE TEA PRMXD CCKT,LIQUOR,PREPARED COCKTAILS,DESERT ISLAND,SAZERAC COMPANY INC,06-00-00,06-02-00
0088004015480,ICE 101 PPRMNT SCHNAPPS 50 5 PRCNT 101 P,LIQUOR,CORDIALS BRANDY COGNAC,ICE 101,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004015510,FRWTR HOT CINN SCHNP ORIG 50 PERCENT 100,LIQUOR,CORDIALS BRANDY COGNAC,FIREWATER,SAZERAC COMPANY INC,06-00-00,06-03-00
0088004015558,LWRNC SCRWD VODKA 12 5 PRCNT 25 PROOF PR,LIQUOR,PREPARED COCKTAILS,LAWRENCE,SAZERAC COMPANY INC,06-00-00,06-02-00
0088004015671,TAAKA DSTLL FROM GRAIN IMTTN KING CAKE V,LIQUOR,DISTILLED SPIRITS,TAAKA,SAZERAC COMPANY INC,06-00-00,06-01-00
